customer_id,customer_name,gender,age,province,city,register_date,channel,vip_level
C00028,范泽,女,23,湖南,长沙,2024-04-03,抖音,普通会员
C00029,邱杰,女,27,河南,郑州,2024-01-30,天猫,银卡会员
C00030,许晓玉,男,35,山东,青岛,2025-10-07,抖音,金卡会员
C00031,董涵,男,55,河南,洛阳,2025-11-03,抖音,普通会员
C00032,何晨,男,31,广东,东莞,2024-04-22,拼多多,金卡会员
C00033,董斌然,男,50,四川,成都,2025-10-12,小程序,普通会员
C00034,邹博,女,21,四川,成都,2025-10-17,天猫,普通会员
C00035,谢一,女,28,陕西,西安,2025-12-19,天猫,普通会员
C00036,邓敏志,男,43,北京,北京,2024-06-04,天猫,银卡会员
C00037,郝国文,女,38,上海,上海,2025-02-20,天猫,钻石会员
C00038,赵思晓,男,39,山东,青岛,2025-12-16,京东,银卡会员
C00039,胡霞晓,男,47,浙江,宁波,2025-10-11,拼多多,银卡会员
C00040,黎晓,女,21,江苏,无锡,2025-03-11,京东,普通会员
C00041,戴志桐,男,47,北京,北京,2024-05-21,抖音,金卡会员
C00042,尹泽,男,55,上海,上海,2024-03-01,京东,普通会员
C00043,石斌佳,女,50,江苏,南京,2024-07-05,京东,普通会员
C00044,沈博,女,30,上海,上海,2024-02-16,拼多多,钻石会员
C00045,卢娜强,男,33,上海,上海,2024-05-20,抖音,普通会员
C00046,高欣梓,女,59,浙江,杭州,2024-02-23,京东,普通会员
C00047,蒋琪桂,男,51,上海,上海,2025-07-02,小程序,普通会员
C00048,江博,女,58,山东,烟台,2025-02-28,京东,普通会员
C00049,张嘉,男,57,浙江,宁波,2025-01-07,天猫,金卡会员
C00050,高懿,女,36,辽宁,大连,2025-08-05,京东,普通会员
C00051,邵嘉,男,23,重庆,重庆,2024-10-22,抖音,钻石会员
C00052,姜桐,女,27,北京,北京,2024-10-17,京东,普通会员
C00053,杜建华,女,30,浙江,杭州,2024-05-28,拼多多,银卡会员
C00054,白刚,男,53,四川,成都,2024-11-16,抖音,银卡会员
C00055,任霞刚,女,29,陕西,西安,2024-05-05,京东,银卡会员
C00056,陆佑雅,男,33,山东,烟台,2025-02-28,拼多多,普通会员
C00057,于静,女,54,未知,长沙,2025-12-19,京东,银卡会员
C00058,秦霞磊,男,25,四川,成都,2025-01-18,京东,银卡会员
C00059,苏建,男,46,湖北,武汉,2024-08-03,天猫,金卡会员
C00060,常航,女,41,浙江,宁波,2025-05-10,京东,普通会员
C00061,蔡博,男,60,福建,福州,2025-08-13,京东,普通会员
C00062,赖浩,女,39,江苏,南京,2024-12-05,天猫,银卡会员
C00063,孙志,女,40,山东,烟台,2024-06-29,抖音,普通会员
C00064,卢志,男,54,陕西,西安,2025-05-28,天猫,普通会员
C00065,萧雪,男,60,广东,深圳,2024-05-14,天猫,钻石会员
C00066,金敏,女,49,湖北,武汉,2025-12-19,抖音,普通会员
C00067,潘华霞,女,48,广东,佛山,2024-08-16,天猫,普通会员
C00068,彭杰勇,男,55,福建,厦门,2024-09-09,抖音,银卡会员
C00069,吕晨晨,男,60,广东,深圳,2025-06-07,抖音,普通会员
C00070,何刚晨,女,49,辽宁,沈阳,2024-01-09,京东,普通会员
C00071,汤洋,女,30,江苏,南京,2024-05-26,天猫,普通会员
C00072,秦嘉斌,女,45,辽宁,沈阳,2024-03-31,京东,普通会员
C00073,郝然国,男,28,湖南,株洲,2024-10-08,天猫,普通会员
C00074,刘佳,女,39,湖北,武汉,2025-02-02,京东,金卡会员
C00075,丁敏,女,37,河南,洛阳,2024-05-09,抖音,普通会员
C00076,傅懿梅,男,60,河南,郑州,2024-09-04,抖音,普通会员
C00077,邱娜伟,男,41,辽宁,大连,2025-07-09,京东,银卡会员
C00078,常雨,男,59,浙江,温州,2025-11-07,小程序,普通会员
C00079,易建燕,女,52,湖北,武汉,2024-01-11,天猫,普通会员
C00080,易嘉,男,54,广东,广州,2025-03-27,拼多多,普通会员
C00081,张芳,女,25,湖北,武汉,2024-01-19,拼多多,普通会员
C00082,贾志桐,女,51,江苏,无锡,2025-01-09,京东,普通会员
C00083,沈玉军,男,28,四川,成都,2025-09-25,天猫,普通会员
C00084,邵霞,女,42,四川,未知,2025-07-28,天猫,金卡会员
C00085,陈娟晓,女,38,北京,北京,2024-06-16,小程序,钻石会员
C00086,胡燕,男,29,四川,绵阳,2024-07-05,天猫,金卡会员
C00087,林飞伟,女,60,河南,郑州,2025-07-18,拼多多,普通会员
C00088,贺玉,女,55,湖南,长沙,2025-08-13,京东,银卡会员
C00089,韩欣浩,男,42,北京,北京,2024-07-21,京东,银卡会员
C00090,戴丽子,女,18,湖北,武汉,2024-01-03,抖音,普通会员
C00091,刘晨飞,女,25,辽宁,大连,2024-11-16,天猫,金卡会员
C00092,郭泽志,男,27,广东,广州,2025-03-22,京东,银卡会员
C00093,郭芳,女,59,广东,深圳,2024-11-15,小程序,普通会员
C00094,谭超,女,35,广东,佛山,2025-11-04,天猫,钻石会员
C00095,朱雨,女,20,山东,青岛,2025-08-08,小程序,普通会员
C00096,金敏洋,男,43,上海,上海,2025-07-21,小程序,普通会员
C00097,毛静建,男,58,河南,郑州,2024-01-15,天猫,普通会员
C00098,顾海,男,42,山东,青岛,2025-09-06,抖音,普通会员
C00099,魏天,女,37,浙江,杭州,2025-06-27,天猫,钻石会员
C00100,潘军雪,女,25,重庆,重庆,2024-10-12,抖音,银卡会员
C00101,谭怡,女,55,河南,郑州,2025-02-28,小程序,普通会员
C00102,武平雨,男,22,浙江,杭州,2025-08-16,拼多多,银卡会员
C00103,杨泽,女,58,上海,上海,2025-10-14,小程序,金卡会员
C00104,梁涵,女,27,浙江,杭州,2025-01-31,天猫,金卡会员
C00105,杜桐懿,女,23,江苏,南京,2024-01-30,抖音,金卡会员
C00106,张伟,女,32,江苏,南京,2025-03-21,天猫,金卡会员
C00107,吕天,女,18,辽宁,大连,2025-05-04,拼多多,银卡会员
C00108,沈诺,男,18,北京,北京,2024-02-12,天猫,普通会员
C00109,冯婷诺,女,26,上海,上海,2025-08-11,天猫,金卡会员
C00110,高欣强,女,47,福建,福州,2024-05-25,天猫,普通会员
C00111,余雨,女,53,四川,绵阳,2025-10-03,天猫,普通会员
C00112,邹文桂,男,28,辽宁,沈阳,2025-01-31,天猫,普通会员
C00113,魏浩华,女,45,河南,未知,2024-08-19,天猫,普通会员
C00114,贺国,男,33,北京,北京,2024-02-12,拼多多,银卡会员
C00115,郑宇,男,36,上海,上海,2024-01-13,拼多多,金卡会员
C00116,唐涛强,男,32,安徽,芜湖,2025-06-17,天猫,普通会员
C00117,方然,男,56,福建,泉州,2024-09-28,拼多多,银卡会员
C00118,石一,男,40,辽宁,沈阳,2025-08-27,京东,普通会员
C00119,杜娜,女,39,广东,东莞,2024-06-14,拼多多,银卡会员
C00120,何欣,女,54,陕西,西安,2025-10-24,京东,普通会员
C00121,雷嘉娟,女,46,山东,青岛,2025-11-08,抖音,普通会员
C00122,徐磊俊,女,24,广东,东莞,2024-03-14,京东,银卡会员
C00123,崔晨,女,26,湖北,武汉,2025-04-10,天猫,普通会员
C00124,孙嘉,女,32,山东,未知,2025-11-07,抖音,普通会员
C00125,石梓,男,22,广东,深圳,2024-08-20,拼多多,普通会员
C00126,罗杰,男,47,北京,北京,2024-02-18,拼多多,普通会员
C00127,方涵强,女,39,湖南,长沙,2025-09-22,京东,银卡会员
C00128,韩琪,女,19,浙江,杭州,2024-12-07,京东,普通会员
C00129,丁静兰,女,35,北京,北京,2024-01-20,拼多多,普通会员
C00130,黎杰国,男,53,北京,北京,2025-08-27,天猫,金卡会员
C00131,朱一燕,女,57,浙江,宁波,2025-05-03,天猫,银卡会员
C00132,许子,女,59,重庆,重庆,2024-02-20,京东,普通会员
C00133,侯浩博,女,57,河南,洛阳,2024-07-05,天猫,银卡会员
C00134,孟晓,女,44,广东,佛山,2024-01-14,京东,普通会员
C00135,丁刚,女,57,安徽,芜湖,2025-11-18,天猫,普通会员
C00136,范雪,女,59,陕西,西安,2024-01-18,抖音,银卡会员
C00137,康军,女,45,浙江,宁波,2025-07-27,抖音,普通会员
C00138,贺杰芳,女,35,湖南,未知,2025-01-03,拼多多,普通会员
C00139,蔡敏宇,女,59,广东,广州,2025-02-23,抖音,金卡会员
C00140,萧怡,男,35,安徽,芜湖,2025-08-07,京东,银卡会员
C00141,郝琪晓,女,25,山东,青岛,2025-10-06,小程序,金卡会员
C00142,丁怡建,女,22,山东,烟台,2024-04-01,抖音,金卡会员
C00143,邓志,女,42,广东,深圳,2024-01-13,京东,普通会员
C00144,郭梦,男,19,重庆,重庆,2024-03-30,天猫,银卡会员
C00145,董墨国,女,23,广东,深圳,2025-05-06,抖音,普通会员
C00146,邓梦,女,28,江苏,南京,2025-02-13,抖音,银卡会员
C00147,萧华,男,40,江苏,南京,2024-03-01,抖音,普通会员
C00148,易雪,男,38,河南,郑州,2024-06-17,拼多多,普通会员
C00149,石玉,男,39,江苏,南京,2025-01-21,小程序,普通会员
C00150,郭晓泽,女,39,重庆,重庆,2025-06-09,小程序,银卡会员
C00151,方墨娟,女,60,山东,济南,2024-09-04,抖音,普通会员
C00152,罗丽一,女,27,广东,广州,2025-11-14,小程序,银卡会员
C00153,侯浩,男,38,广东,东莞,2025-12-15,小程序,金卡会员
C00154,余墨,女,44,广东,广州,2025-07-05,天猫,银卡会员
C00155,龙伟,女,29,湖北,宜昌,2024-11-23,抖音,普通会员
C00156,胡嘉,女,25,湖南,株洲,2025-09-23,天猫,普通会员
C00157,姜桂子,男,20,江苏,南京,2025-06-08,京东,金卡会员
C00158,毛然,男,32,陕西,西安,2025-01-09,京东,银卡会员
C00159,夏嘉,女,28,广东,深圳,2024-11-15,京东,普通会员
C00160,袁思飞,男,26,湖南,株洲,2025-08-22,天猫,钻石会员
C00161,贾诗平,女,29,辽宁,大连,2025-02-05,天猫,普通会员
C00162,萧梓天,女,47,河南,洛阳,2024-05-11,天猫,普通会员
C00163,卢怡,男,53,福建,福州,2025-12-20,抖音,普通会员
C00164,史涵,男,40,湖南,长沙,2024-02-19,拼多多,普通会员
C00165,田雨,女,20,广东,深圳,2025-05-15,小程序,普通会员
C00166,汪强,女,49,江苏,无锡,2025-04-17,京东,银卡会员
C00167,熊佳娜,女,24,广东,深圳,2025-02-26,天猫,普通会员
C00168,田然嘉,男,20,四川,绵阳,2024-02-07,拼多多,银卡会员
C00169,卢建,女,42,福建,福州,2024-12-20,天猫,金卡会员
C00170,汤雨,男,36,湖北,宜昌,2025-10-04,小程序,金卡会员
C00171,戴宇琪,女,31,陕西,咸阳,2024-06-21,抖音,普通会员
C00172,杨嘉,女,59,江苏,南京,2025-05-12,京东,银卡会员
C00173,钟建,男,21,福建,厦门,2025-09-10,天猫,普通会员
C00174,郝静涵,女,20,江苏,苏州,2025-11-16,天猫,银卡会员
C00175,江泽,女,43,浙江,宁波,2025-01-06,抖音,普通会员
C00176,廖强,男,35,福建,福州,2024-08-13,京东,银卡会员
C00177,雷娟,女,52,安徽,合肥,2025-05-18,拼多多,普通会员
C00178,贾文,女,19,湖北,武汉,2024-12-16,抖音,银卡会员
C00179,赖怡强,女,36,广东,深圳,2025-03-27,京东,普通会员
C00180,贾志,男,24,湖北,武汉,2025-06-18,天猫,普通会员
C00181,夏涛志,女,19,广东,未知,2025-05-26,京东,银卡会员
C00182,李嘉浩,男,37,陕西,西安,2024-06-23,天猫,普通会员
C00183,方磊丽,女,49,福建,福州,2025-06-28,抖音,银卡会员
C00184,程琪,女,24,江苏,无锡,2025-01-25,抖音,银卡会员
C00185,白怡,男,54,广东,深圳,2025-11-01,拼多多,银卡会员
C00186,蒋强,男,40,江苏,苏州,2025-04-19,京东,银卡会员
C00187,万佳,女,38,未知,芜湖,2025-10-04,天猫,银卡会员
C00188,邹华洋,男,57,北京,北京,2025-12-05,拼多多,金卡会员
C00189,阎明,女,32,河南,郑州,2025-12-17,抖音,普通会员
C00190,汪雨,女,26,山东,青岛,2025-06-20,抖音,银卡会员
C00191,胡雅志,女,51,四川,绵阳,2025-03-06,京东,银卡会员
C00192,曾志,男,22,江苏,苏州,2024-03-26,拼多多,普通会员
C00193,邵婷,男,55,未知,沈阳,2024-10-05,天猫,普通会员
C00194,任懿磊,男,53,浙江,宁波,2024-12-08,京东,普通会员
C00195,董嘉,女,60,湖北,武汉,2025-07-15,拼多多,银卡会员
C00196,钱涵,女,37,福建,福州,2025-02-27,天猫,普通会员
C00197,崔晨超,女,44,山东,烟台,2024-11-12,拼多多,银卡会员
C00198,董霞思,男,55,辽宁,大连,2024-04-15,京东,银卡会员
C00199,史娟艳,男,23,江苏,苏州,2025-05-30,天猫,银卡会员
C00200,康俊佳,男,31,四川,成都,2024-11-07,天猫,普通会员
C00201,萧艳勇,女,38,上海,上海,2024-01-27,拼多多,银卡会员
C00202,梁佑浩,男,44,北京,北京,2024-07-23,拼多多,银卡会员
C00203,姜浩桐,男,47,广东,东莞,2025-09-25,京东,普通会员
C00204,孟怡涵,女,57,广东,深圳,2024-03-26,天猫,普通会员
C00205,金强,女,39,浙江,杭州,2024-10-19,天猫,普通会员
C00206,夏曦,男,25,浙江,杭州,2025-01-03,天猫,金卡会员
C00207,石诗涛,女,26,北京,北京,2024-03-01,拼多多,普通会员
C00208,田晓,男,52,湖北,武汉,2024-04-29,天猫,普通会员
C00209,彭文,男,37,山东,济南,2025-11-07,天猫,普通会员
C00210,段墨雪,男,45,上海,上海,2025-03-01,天猫,普通会员
C00211,康子琪,男,42,上海,上海,2024-05-31,抖音,普通会员
C00212,李雨强,女,52,江苏,南京,2024-05-02,抖音,银卡会员
C00213,贺欣洋,女,27,湖北,武汉,2024-11-02,抖音,普通会员
C00214,夏洋,女,25,浙江,杭州,2025-06-04,抖音,金卡会员
C00215,韩墨杰,男,49,广东,东莞,2025-06-09,小程序,普通会员
C00216,康建,女,36,上海,上海,2024-05-20,京东,普通会员
C00217,郭涵,女,53,北京,北京,2025-06-06,拼多多,银卡会员
C00218,尹嘉子,男,23,江苏,无锡,2025-10-07,抖音,银卡会员
C00219,许敏军,女,29,四川,成都,2024-06-11,天猫,金卡会员
C00220,赵飞梦,女,59,四川,绵阳,2024-01-19,拼多多,普通会员
C00221,周燕,女,54,福建,泉州,2025-11-21,抖音,普通会员
C00222,尹文,男,20,山东,青岛,2025-01-10,抖音,银卡会员
C00223,秦志,女,53,山东,济南,2025-07-13,天猫,普通会员
C00224,方婷欣,女,20,浙江,温州,2024-08-18,京东,金卡会员
C00225,袁佑浩,女,23,河南,洛阳,2024-08-03,拼多多,普通会员
C00226,徐霞,女,56,四川,成都,2024-06-11,天猫,普通会员
C00227,潘懿刚,男,23,北京,北京,2024-06-05,天猫,银卡会员
C00228,吴军鹏,女,30,湖北,武汉,2024-12-05,天猫,银卡会员
C00229,邓志,女,23,上海,上海,2024-03-17,京东,金卡会员
C00230,赵诺懿,女,43,四川,成都,2025-08-29,拼多多,金卡会员
C00231,秦晓桐,男,20,福建,厦门,2025-01-03,抖音,普通会员
C00232,袁妍,男,30,未知,西安,2025-10-20,小程序,银卡会员
C00233,曹娟,男,32,重庆,未知,2024-12-27,京东,钻石会员
C00234,于诺艳,男,45,北京,北京,2024-08-06,京东,普通会员
C00235,邱娟飞,女,39,四川,成都,2025-01-05,天猫,普通会员
C00236,乔怡佳,男,26,湖南,长沙,2024-04-21,天猫,金卡会员
C00237,赵梅涛,女,37,浙江,未知,2025-08-16,拼多多,普通会员
C00238,孔雨,女,37,湖南,株洲,2025-06-02,天猫,金卡会员
C00239,段欣国,女,33,北京,北京,2024-04-15,天猫,普通会员
C00240,金伟丽,男,40,广东,深圳,2025-02-23,拼多多,金卡会员
C00241,常怡欣,女,32,广东,深圳,2025-01-22,抖音,银卡会员
C00242,贺敏,女,32,湖南,未知,2024-05-24,天猫,银卡会员
C00243,毛建,女,51,广东,广州,2024-03-28,抖音,银卡会员
C00244,毛晓,男,28,浙江,杭州,2025-07-01,京东,普通会员
C00245,罗斌,女,32,浙江,杭州,2024-07-09,拼多多,银卡会员
C00246,范杰,男,24,江苏,无锡,2025-01-08,抖音,金卡会员
C00247,康琪,女,48,浙江,杭州,2024-06-27,天猫,钻石会员
C00248,谢静,男,48,福建,厦门,2025-04-15,天猫,钻石会员
C00249,金英,男,47,广东,深圳,2024-02-05,天猫,银卡会员
C00250,黎飞,女,25,湖南,长沙,2024-09-15,抖音,银卡会员
C00251,许燕然,男,37,陕西,西安,2025-01-28,京东,银卡会员
C00252,卢晨文,女,30,上海,上海,2024-11-12,拼多多,银卡会员
C00253,谭文,女,50,江苏,南京,2025-03-16,京东,银卡会员
C00254,康琴娟,男,32,湖北,武汉,2024-05-09,京东,普通会员
C00255,龙嘉,男,35,广东,佛山,2024-11-14,天猫,普通会员
C00256,杜刚,男,37,上海,上海,2025-06-28,天猫,银卡会员
C00257,沈浩,女,50,辽宁,大连,2024-08-28,京东,普通会员
C00258,郝杰晨,女,48,安徽,芜湖,2024-04-23,抖音,普通会员
C00259,雷梅,男,53,河南,洛阳,2025-09-02,小程序,普通会员
C00260,文超嘉,女,36,浙江,宁波,2025-07-14,天猫,金卡会员
C00261,朱英曦,男,53,山东,青岛,2025-05-04,抖音,钻石会员
C00262,崔一怡,女,55,福建,福州,2025-07-28,天猫,银卡会员
C00263,江嘉浩,女,40,上海,上海,2025-07-14,抖音,钻石会员
C00264,侯浩,男,47,山东,济南,2025-06-21,天猫,金卡会员
C00265,邓涛,女,57,广东,佛山,2025-01-01,抖音,普通会员
C00266,孙婷军,男,54,江苏,苏州,2024-01-14,天猫,普通会员
C00267,邹嘉妍,女,29,四川,绵阳,2025-03-05,天猫,普通会员
C00268,廖欣雨,女,48,江苏,南京,2024-07-15,抖音,普通会员
C00269,史琪晓,女,37,江苏,未知,2025-07-10,京东,银卡会员
C00270,汪晨宇,女,24,湖南,长沙,2024-12-03,京东,普通会员
C00271,雷文婷,女,33,安徽,合肥,2025-10-13,京东,金卡会员
C00272,赵晓,男,60,四川,成都,2025-03-04,小程序,银卡会员
C00273,侯婷强,女,59,湖南,长沙,2025-01-31,京东,普通会员
C00274,熊思萱,男,51,安徽,合肥,2025-10-23,抖音,钻石会员
C00275,范国英,女,60,江苏,苏州,2024-12-08,拼多多,钻石会员
C00276,梁浩,男,42,未知,北京,2024-09-27,抖音,银卡会员
C00277,曹晨,女,50,上海,上海,2024-09-24,京东,银卡会员
C00278,陆子,女,25,广东,广州,2025-09-22,抖音,钻石会员
C00279,薛明洋,男,30,河南,未知,2025-06-28,天猫,银卡会员
C00280,沈娟,女,25,北京,北京,2024-04-27,抖音,金卡会员
C00281,薛英远,女,58,北京,北京,2024-12-20,京东,普通会员
C00282,杜雅雨,男,44,江苏,苏州,2024-09-24,拼多多,银卡会员
C00283,钱博,女,58,未知,苏州,2025-04-10,拼多多,普通会员
C00284,邓桐,女,35,重庆,重庆,2024-02-07,天猫,普通会员
C00285,石桂军,女,35,广东,广州,2025-05-29,天猫,普通会员
C00286,雷诺晨,男,47,江苏,苏州,2025-06-18,京东,普通会员
C00287,黄玉,女,42,浙江,杭州,2024-06-12,抖音,普通会员
C00288,曾怡斌,男,34,北京,北京,2024-04-18,京东,普通会员
C00289,谭浩娟,女,31,湖北,武汉,2025-03-27,抖音,普通会员
C00290,钱诺泽,男,40,北京,北京,2024-07-04,京东,金卡会员
C00291,郝佳,男,21,广东,深圳,2025-11-08,小程序,银卡会员
C00292,江嘉子,男,26,浙江,宁波,2025-07-12,京东,银卡会员
C00293,徐佳,男,19,陕西,西安,2025-11-18,天猫,普通会员
C00294,唐敏,女,24,山东,青岛,2025-01-19,京东,金卡会员
C00295,石文涵,女,26,山东,未知,2025-11-06,抖音,普通会员
C00296,潘宇,女,21,山东,济南,2024-01-11,天猫,普通会员
C00297,常然,女,20,河南,郑州,2024-07-27,天猫,普通会员
C00298,范娜建,男,53,广东,广州,2024-01-02,京东,金卡会员
C00299,陆嘉琪,男,25,上海,上海,2025-05-02,拼多多,钻石会员
C00300,邓博,女,41,四川,绵阳,2025-01-02,小程序,银卡会员
C00301,魏艳勇,女,22,浙江,杭州,2024-07-26,京东,银卡会员
C00302,罗航强,女,58,陕西,西安,2024-08-07,天猫,普通会员
C00303,田然,男,28,北京,北京,2025-04-08,京东,银卡会员
C00304,林涛,女,50,河南,洛阳,2024-05-09,京东,普通会员
C00305,孙宇,男,45,陕西,西安,2025-01-05,小程序,普通会员
C00306,范明,女,51,四川,绵阳,2025-03-17,京东,钻石会员
C00307,张兰怡,男,45,重庆,重庆,2024-06-21,抖音,钻石会员
C00308,曹刚,女,39,湖北,宜昌,2024-06-13,小程序,普通会员
C00309,阎佳然,男,51,陕西,西安,2024-09-12,抖音,普通会员
C00310,阎敏,女,53,浙江,温州,2025-03-02,天猫,普通会员
C00311,彭梓,男,34,北京,北京,2024-07-02,抖音,普通会员
C00312,林佳文,女,58,四川,绵阳,2024-09-30,京东,普通会员
C00313,孙涵文,男,60,广东,广州,2025-01-26,京东,银卡会员
C00314,潘俊文,女,49,上海,上海,2024-05-14,小程序,普通会员
C00315,陆勇建,男,57,重庆,重庆,2025-02-13,天猫,普通会员
C00316,龙俊,男,22,湖北,武汉,2024-04-09,京东,普通会员
C00317,贺平,女,41,江苏,南京,2024-04-12,天猫,银卡会员
C00318,孟然娜,男,45,浙江,杭州,2024-06-19,天猫,普通会员
C00319,江浩燕,男,57,江苏,苏州,2024-07-25,抖音,普通会员
C00320,钱强杰,女,23,广东,深圳,2024-01-22,拼多多,银卡会员
C00321,任婷,女,52,辽宁,大连,2025-11-23,抖音,银卡会员
C00322,朱航佑,女,21,北京,北京,2024-08-09,京东,普通会员
C00323,钟宇玉,男,33,浙江,宁波,2025-08-02,天猫,银卡会员
C00324,冯涵雨,女,47,湖北,武汉,2025-10-11,京东,普通会员
C00325,钱一琴,女,30,广东,广州,2025-07-30,京东,银卡会员
C00326,萧然浩,男,53,浙江,温州,2025-08-21,拼多多,普通会员
C00327,朱国燕,女,58,福建,厦门,2024-03-13,抖音,金卡会员
C00328,汪涛,男,24,湖北,武汉,2024-09-24,拼多多,钻石会员
C00329,余远燕,女,29,安徽,芜湖,2025-06-21,拼多多,银卡会员
C00330,雷静,女,21,湖北,宜昌,2025-02-18,京东,金卡会员
C00331,孙强英,女,48,北京,北京,2024-01-05,抖音,普通会员
C00332,程军英,女,56,河南,洛阳,2025-02-12,拼多多,银卡会员
C00333,郑芳英,男,43,重庆,重庆,2025-08-02,小程序,普通会员
C00334,吕桐佳,男,23,福建,泉州,2025-08-19,京东,普通会员
C00335,郑志嘉,女,25,辽宁,沈阳,2024-10-03,抖音,普通会员
C00336,高燕,女,19,河南,郑州,2024-06-19,京东,银卡会员
C00337,汤然,女,39,陕西,西安,2024-08-10,拼多多,银卡会员
C00338,冯丽,男,49,广东,广州,2024-08-01,小程序,金卡会员
C00339,戴俊雪,女,24,福建,福州,2024-09-06,小程序,银卡会员
C00340,廖英浩,男,54,北京,北京,2024-08-05,天猫,金卡会员
C00341,余文,男,28,四川,绵阳,2024-11-25,天猫,金卡会员
C00342,陈琪平,女,40,山东,烟台,2024-01-30,拼多多,金卡会员
C00343,顾强磊,女,46,安徽,合肥,2024-07-17,抖音,普通会员
C00344,邹志,女,41,安徽,芜湖,2024-08-14,小程序,普通会员
C00345,段磊,女,38,浙江,杭州,2024-04-20,京东,银卡会员
C00346,林娟萱,男,32,福建,福州,2025-09-24,拼多多,钻石会员
C00347,贺英刚,女,36,河南,郑州,2025-05-01,抖音,普通会员
C00348,秦建,女,28,上海,上海,2025-10-18,天猫,普通会员
C00349,许海嘉,女,30,广东,东莞,2025-02-08,天猫,普通会员
C00350,彭静,男,50,广东,佛山,2024-03-19,抖音,普通会员
C00351,崔懿然,男,55,河南,洛阳,2025-10-13,天猫,金卡会员
C00352,贺刚琪,男,54,北京,北京,2024-11-25,拼多多,普通会员
C00353,沈文,男,32,安徽,合肥,2025-05-07,抖音,普通会员
C00354,何梦,男,31,北京,北京,2024-10-01,京东,银卡会员
C00355,尹杰艳,女,20,安徽,合肥,2024-12-21,天猫,普通会员
C00356,邵宇志,女,29,上海,上海,2024-12-18,小程序,普通会员
C00357,熊诗,男,43,河南,未知,2024-07-23,抖音,银卡会员
C00358,陈梅,女,29,广东,广州,2025-02-03,拼多多,普通会员
C00359,戴天梓,女,49,四川,成都,2025-06-12,拼多多,钻石会员
C00360,徐浩,女,20,湖南,长沙,2024-01-15,抖音,银卡会员
C00361,金浩妍,女,35,重庆,重庆,2024-04-04,小程序,钻石会员
C00362,田梅,女,30,湖南,长沙,2025-08-29,抖音,普通会员
C00363,邱燕泽,男,39,广东,佛山,2025-02-14,京东,银卡会员
C00364,段博,男,19,上海,上海,2025-12-02,天猫,银卡会员
C00365,余强,女,36,广东,深圳,2025-03-11,京东,银卡会员
C00366,孙宇航,女,51,广东,深圳,2025-04-15,拼多多,普通会员
C00367,余杰,女,54,山东,青岛,2025-10-09,京东,普通会员
C00368,阎桐嘉,女,29,未知,厦门,2025-04-20,抖音,普通会员
C00369,曾墨军,男,36,河南,洛阳,2024-08-25,小程序,金卡会员
C00370,邱雨然,男,47,陕西,西安,2025-01-15,京东,金卡会员
C00371,郭杰勇,女,37,福建,未知,2024-06-18,天猫,普通会员
C00372,杨娟涵,男,41,湖南,株洲,2024-08-28,抖音,银卡会员
C00373,潘佑然,女,32,广东,深圳,2025-05-04,天猫,银卡会员
C00374,赖鹏诺,女,54,江苏,无锡,2024-04-17,拼多多,银卡会员
C00375,谭文艳,女,45,湖北,武汉,2025-04-28,京东,普通会员
C00376,雷远娟,男,59,未知,咸阳,2025-02-24,京东,金卡会员
C00377,汪明霞,女,51,广东,东莞,2024-08-10,抖音,银卡会员
